1	2.52
2	2.74
3	2.96
4	2.84
5	1.9425
6	2.87
7	2.56
8	2.87
9	2.46
10	2.17
11	2.06
12	1.92
13	1.86
14	1.76
15	1.98
16	2.15
17	1.83
18	1.92
19	1.90
20	1.71
21	1.73
22	2.25
23	2.15
24	2.24
25	2.01
26	2.02
27	1.60
28	1.48
29	1.35
30	1.31
31	1.43
32	1.31
33	1.45
34	1.57
35	1.86
36	1.80
37	1.82
38	1.73
39	2.15
40	2.31
41	2.61
42	2.78
43	2.50
44	2.205
45	2.59
46	2.2075
47	2.22
48	2.87
49	2.92
50	2.79
51	2.85
52	2.57
53	2.43
54	2.33
55	2.19
56	2.20
57	2.10
58	2.52
59	2.70
60	2.73
61	2.77
62	2.90
63	2.57
64	2.55
65	2.22
66	2.59
67	2.46
68	2.57
69	2.55
70	2.46
71	2.48
72	2.56
73	2.73
74	2.30
75	2.21
76	2.02
77	2.11
78	2.01
79	2.09
80	1.9525
81	2.25
82	2.15
83	1.94
84	1.97
85	2.04
86	2.28
87	2.12
88	1.92
89	2.01
90	1.98
91	1.77
92	1.66
93	1.60
94	1.53
95	1.68
96	1.56
97	1.66
98	2.38
99	3.26
100	3.09
101	3
102	2.58
103	2.51
104	2.74
105	2.63
106	2.94
107	2.58
108	2.35
109	2.07
110	2.10
111	1.79
112	1.87
113	1.64
114	2.03
115	2.14
116	2.28
117	2.33
118	2.18
119	2.385
120	2.17
121	2.06
122	1.98
123	1.67
124	1.63
125	1.60
126	1.61
127	1.73
128	1.65
129	1.62
130	1.62
131	1.59
132	1.64
133	1.70
134	2.16
135	2.02
136	1.72
137	1.89
138	1.91
139	1.99
140	2.17
141	2.39
142	2.34
143	2.64
144	3.06
145	2.62
146	2.40
147	2.32
148	2.55
149	2.42
150	2.37
151	2.35
152	2.41
153	2.41
154	2.36
155	2.44
156	2.15
157	2.27
158	2.29
159	2.18
160	2.05
161	2.27
162	2.36
163	2.18
164	2.39
165	2.49
166	2.67
167	2.97
168	2.78
169	2.53
170	2.50
171	2.15
172	2.23
173	2.49
174	2.37
175	2.31
176	2.28
177	2.42
178	2.87
179	2.37
180	2.54
181	2.41
182	2.53
183	2.61
184	2.41
185	2.47
186	2.74
187	2.22
188	2.13
189	2.16
190	1.77
191	2.45
192	2.77
193	3.49
194	3.63
195	3.14
196	3.04
197	3.12
198	2.69
199	2.88
200	2.54
201	2.35
202	2.26
203	2.08
204	1.89
205	1.61
206	1.37
207	2.04
208	3.45
209	4.20
210	3.58
211	3.16
212	2.84
213	2.76
214	2.49
215	2.34
216	1.83
217	1.67
218	1.78
219	1.84
220	1.67
221	1.83
222	2.25
223	2.55
224	2.37
225	2.69
226	2.81
227	2.39
228	2.24
229	2.33
230	2.16
231	2.21
232	2.25
233	2.23
234	2.44
235	2.40
236	2.62
237	2.39
238	2.50
239	2.44
240	2.06
241	1.97
242	1.67
243	1.52
244	1.36
245	1.47
246	1.47
247	1.72
248	1.55
249	1.66
250	1.85
251	2.01
252	1.80
253	1.87
254	1.85
255	1.53
256	1.54
257	1.43
258	1.50
259	1.73
260	2.03
261	2.24
262	2.25
263	2.25
264	1.93
265	2.11
266	1.88
267	1.97
268	1.95
269	1.83
270	2.02
271	2.14
272	1.98
273	1.91
274	1.79
275	2.08
276	1.85
277	2.11
278	1.99
279	1.81
